distance_m,Pr_W
1.000000000000000000e+00,2.799084553186726977e-08
1.191919191919191823e+00,1.933292066826802954e-08
1.383838383838383868e+00,1.407328315594043706e-08
1.575757575757575690e+00,1.065031468515555782e-08
1.767676767676767735e+00,8.304445056425348617e-09
1.959595959595959558e+00,6.630683986598636929e-09
2.151515151515151381e+00,5.397313690791024077e-09
2.343434343434343425e+00,4.464121164755179154e-09
2.535353535353535470e+00,3.742308423528240538e-09
2.727272727272727071e+00,3.173471252051436651e-09
2.919191919191919116e+00,2.717950155479029470e-09
3.111111111111111160e+00,2.348068795853976971e-09
3.303030303030302761e+00,2.044051442519965610e-09
3.494949494949494806e+00,1.791472747292528322e-09
3.686868686868686851e+00,1.579616826115378601e-09
3.878787878787878451e+00,1.400393570138448880e-09
4.070707070707070940e+00,1.247606248387462723e-09
4.262626262626262985e+00,1.116446221421326580e-09
4.454545454545454142e+00,1.003137828055741917e-09
4.646464646464646187e+00,9.046846051828322088e-10
4.838383838383838231e+00,8.186851508011919393e-10
5.030303030303030276e+00,7.431976560241496613e-10
5.222222222222222321e+00,6.766389708637380817e-10
5.414141414141413478e+00,6.177085188131015488e-10
5.606060606060605522e+00,5.653303228820647888e-10
5.797979797979797567e+00,5.186083902221319033e-10
5.989898989898989612e+00,4.767920587752168691e-10
6.181818181818181657e+00,4.392488493440192564e-10
6.373737373737373701e+00,4.054430263866310165e-10
6.565656565656564858e+00,3.749185397348698922e-10
6.757575757575756903e+00,3.472853563742694791e-10
6.949494949494948948e+00,3.222084360964984443e-10
7.141414141414140992e+00,2.993987842661280856e-10
7.333333333333333037e+00,2.786061477527082109e-10
7.525252525252525082e+00,2.596130192396709427e-10
7.717171717171717127e+00,2.422296897692410776e-10
7.909090909090908283e+00,2.262901460144518227e-10
8.101010101010100328e+00,2.116486520499236696e-10
8.292929292929292373e+00,1.981768887006700015e-10
8.484848484848484418e+00,1.857615493504943869e-10
8.676767676767676463e+00,1.743023112054145415e-10
8.868686868686868507e+00,1.637101167808182621e-10
9.060606060606060552e+00,1.539057128208974985e-10
9.252525252525252597e+00,1.448184037230595238e-10
9.444444444444444642e+00,1.363849844023295410e-10
9.636363636363634910e+00,1.285488238285387240e-10
9.828282828282826955e+00,1.212590755375657509e-10
1.002020202020201900e+01,1.144699955155390343e-10
1.021212121212121104e+01,1.081403511820711543e-10
1.040404040404040309e+01,1.022329079114292260e-10
1.059595959595959513e+01,9.671398175133361633e-11
1.078787878787878718e+01,9.155304882406656027e-11
1.097979797979797922e+01,8.672240339984627048e-11
1.117171717171717127e+01,8.219685787842177557e-11
1.136363636363636331e+01,7.795347894975522538e-11
1.155555555555555536e+01,7.397135506708989672e-11
1.174747474747474740e+01,7.023139108668782487e-11
1.193939393939393945e+01,6.671612653311148414e-11
1.213131313131312972e+01,6.340957445741983163e-11
1.232323232323232176e+01,6.029707828454483911e-11
1.251515151515151381e+01,5.736518440888069208e-11
1.270707070707070585e+01,5.460152860476825143e-11
1.289898989898989790e+01,5.199473458014774846e-11
1.309090909090908994e+01,4.953432322463437926e-11
1.328282828282828198e+01,4.721063129380953245e-11
1.347474747474747403e+01,4.501473843471677352e-11
1.366666666666666607e+01,4.293840159765091429e-11
1.385858585858585812e+01,4.097399599986763313e-11
1.405050505050505016e+01,3.911446191077316961e-11
1.424242424242424221e+01,3.735325661795496168e-11
1.443434343434343425e+01,3.568431101116377214e-11
1.462626262626262452e+01,3.410199028880635198e-11
1.481818181818181657e+01,3.260105835013161975e-11
1.501010101010100861e+01,3.117664548734398302e-11
1.520202020202020066e+01,2.982421903641171442e-11
1.539393939393939270e+01,2.853955668425946878e-11
1.558585858585858475e+01,2.731872216410572335e-11
1.577777777777777679e+01,2.615804310058436237e-11
1.596969696969696884e+01,2.505409079253237457e-11
1.616161616161615910e+01,2.400366174441258250e-11
1.635353535353535293e+01,2.300376077768258728e-11
1.654545454545454675e+01,2.205158557137176532e-11
1.673737373737373701e+01,2.114451249699165535e-11
1.692929292929292728e+01,2.028008362694545027e-11
1.712121212121212110e+01,1.945599480804515998e-11
1.731313131313131137e+01,1.867008470278814053e-11
1.750505050505050519e+01,1.792032471085853037e-11
1.769696969696969546e+01,1.720480969205213556e-11
1.788888888888888928e+01,1.652174941960377663e-11
1.808080808080807955e+01,1.586946069983819058e-11
1.827272727272726982e+01,1.524636010026455697e-11
1.846464646464646364e+01,1.465095723378056907e-11
1.865656565656565391e+01,1.408184855161494473e-11
1.884848484848484773e+01,1.353771160208753547e-11
1.904040404040403800e+01,1.301729971625913089e-11
1.923232323232323182e+01,1.251943708512946450e-11
1.942424242424242209e+01,1.204301419626856523e-11
1.961616161616161591e+01,1.158698360066989758e-11
1.980808080808080618e+01,1.115035598323145952e-11
2.000000000000000000e+01,1.073219651263144806e-11
